time,POD,FAR,CSI,leading_time (min)
2024-05-07 23:25:16,0.27542726789127603,0.6957651230022345,0.16938830778738784,23.666666666666664
2024-05-07 23:30:46,0.26814524438947596,0.739801053523733,0.15216945628943224,23.0
2024-05-07 23:36:51,0.21547010875644945,0.8106558091049726,0.11222922143868562,22.98333333333333
2024-05-07 23:43:08,0.205632999214798,0.8260256565118217,0.10451992446246498,23.55
2024-05-07 23:49:50,0.2545835622383583,0.7863057764744986,0.1315501336762684,24.566666666666666
2024-05-07 23:56:33,0.2911708560805771,0.7556427696732805,0.15389130388954825,25.783333333333335
2024-05-08 00:03:03,0.29969889556503854,0.7483242098837982,0.15855712690615484,26.2
2024-05-08 00:09:20,0.3282097824446964,0.7463222274473936,0.16724696231203348,26.2
2024-05-08 00:14:52,0.27736899850939106,0.7847451479195446,0.14244227335797016,25.03333333333333
2024-05-08 00:20:12,0.22733677689507173,0.8204671565717124,0.11164655510101672,23.65
2024-05-08 00:25:31,0.24146580871865544,0.8162011753485096,0.11655972878474803,22.46666666666667
2024-05-08 00:31:23,0.19250761790891707,0.8417061865046908,0.0965623367796819,22.05
2024-05-08 00:36:29,0.2648571784283762,0.761740410852635,0.14341600181198425,21.616666666666664
2024-05-08 00:40:40,0.15865233512293672,0.8372521145351844,0.0891269716988713,20.466666666666665
2024-05-08 00:44:45,0.19553895345941685,0.829530970738964,0.10028027564491696,19.23333333333333
2024-05-08 00:48:52,0.22526012484615832,0.8047021911783256,0.1169617855844033,17.48333333333333
2024-05-08 00:52:50,0.36042650263913084,0.7117407461625227,0.19098896598651657,16.35
2024-05-08 00:57:09,0.27853202724848847,0.8086932541092371,0.12844944308486683,16.48333333333333
